"NombreCat","CodTip","Cantidad","Total"
"ARTICULOS DE REPOSTERIA                           ",201703,5,506.46
"JABON DE TOCADOR                                  ",201703,24,186.969999
"VINOS                                             ",201703,10,1200.06
"DESINFECTANTES                                    ",201703,3,70.05
"SUAVIZANTES                                       ",201703,2,160.04
"TOALLAS HIGIENICAS                                ",201703,1,155.87
"ARTICULOS DE LIMPIEZA                             ",201703,2,61.2
"DETERGENTES                                       ",201703,4,354.16
"REHIDRATANTES                                     ",201703,9,120.6992
"LEJIAS                                            ",201703,37,757.649999
"EMBUTIDOS                                         ",201703,192,599.629399
"CONSERVAS DE PESCADOS                             ",201703,4,475.150001
"BEBIDAS GASEOSAS                                  ",201703,47,710.912799
"YOGURT                                            ",201703,34,565.5188
"DESODORANTES                                      ",201703,1,0
"PANES Y KEKES                                     ",201703,92,346.5462
"ACEITES                                           ",201703,300,26834.69
"CONDIMENTOS Y VINAGRES                            ",201703,26,1068.95
"JUGOS                                             ",201703,18,539.568199
"GOLOSINAS - MARSHMALLOWS                          ",201703,2,111.74
"OTROS ACCESORIOS                                  ",201703,24,134.99
"ENSERES DE LIMPIEZA                               ",201703,82,397.6128
"PAPEL HIGIENICO                                   ",201703,20,366.34
"HELADOS                                           ",201703,5,189.000001
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201703,1,310.15
"CAFE                                              ",201703,14,401.42
"LECHE Y DERIVADOS                                 ",201703,2,200.870001
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201703,14,114.814
"COCINA                                            ",201703,30,11.07
"FRUTOS Y ESPECIAS                                 ",201703,30,876
"SALSAS - CREMAS                                   ",201703,2,22.13
"JABON DE LAVAR                                    ",201703,1,0
"POSTRES VARIOS                                    ",201703,13,144.3966
"AGUA MINERAL                                      ",201703,4,0
"OTROS",201703,13,11535.4424
"CIGARROS                                          ",201703,1,4799.65
"CEREALES Y DERIVADOS DE LA SOYA                   ",201703,1,68.46
"GOLOSINAS - CARAMELOS                             ",201703,16,468.216598
"TOALLAS HIGIENICAS                                ",201704,10,327.95
"HARINAS INDUSTRIALES                              ",201704,320,24904.78
"ENSERES DE LIMPIEZA                               ",201704,35,87.5
"YOGURT                                            ",201704,69,629.8214
"BOCADITOS                                         ",201704,65,298.1506
"FRUTOS Y ESPECIAS                                 ",201704,100,840
"REHIDRATANTES                                     ",201704,1,15.0096
"GOLOSINAS - CARAMELOS                             ",201704,5,249.14
"OTROS",201704,12,2783.643201
"PAPEL HIGIENICO                                   ",201704,50,1540.49
"GOLOSINAS - GALLETAS                              ",201704,51,485.1808
"SALSAS - CREMAS                                   ",201704,12,237.530001
"CAFE                                              ",201704,6,1555
"PASTAS DE TOMATE                                  ",201704,2,122.6
"EMBUTIDOS                                         ",201704,135,288.354801
"COMIDAS INSTANTANEAS                              ",201704,7,161.89
"HELADOS                                           ",201704,6,163.67
"CEREALES Y DERIVADOS DE LA SOYA                   ",201704,142,667.182
"ARTICULOS DE LIMPIEZA                             ",201704,3,91.81
"CONDIMENTOS Y VINAGRES                            ",201704,82,1906.98492
"LECHE Y DERIVADOS                                 ",201704,23,400.4412
"GOLOSINAS - CHOCOLATES                            ",201704,4,1084.97
"PANES Y KEKES                                     ",201704,209,495.4804
"ACEITES                                           ",201704,351,21435.8566
"BEBIDAS GASEOSAS                                  ",201704,31,894.04
"LAVAVAJILLAS Y SIMILARES                          ",201704,70,2583.0736
"TALCOS                                            ",201704,1,0
"INSECTICIDAS                                      ",201704,18,125.64
"CONSERVAS DE PESCADOS                             ",201704,2,383.039999
"LEJIAS                                            ",201704,1,45.59
"JUGOS                                             ",201704,4,68.4684
"MANTEQUILLAS Y MARGARINAS                         ",201704,15,398.68
"CERVEZAS                                          ",201704,12,286.19
"SAL                                               ",201704,12,56.3686
"ARROZ A GRANEL                                    ",201704,40,7.89472
"COCOAS Y CHOCOLATES                               ",201704,10,1785.34
"JABON DE TOCADOR                                  ",201704,2,32.05
"POSTRES VARIOS                                    ",201704,10,184.1176
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201704,204,3175.770001
"AGUA MINERAL                                      ",201704,10,61.52
"DETERGENTES                                       ",201704,27,2179.384734
"FRUTOS Y ESPECIAS                                 ",201705,86,5336.000002
"LAVAVAJILLAS Y SIMILARES                          ",201705,52,3139.1658
"SUAVIZANTES                                       ",201705,1,90.32
"OTROS",201705,108,4210.446
"PIZZAS                                            ",201705,7,16.66
"CEREALES Y DERIVADOS DE LA SOYA                   ",201705,52,707.848002
"EMBUTIDOS                                         ",201705,92,169.8138
"ENSERES DE LIMPIEZA                               ",201705,10,256.75
"PAPEL HIGIENICO                                   ",201705,120,3876.93
"SALSAS - CREMAS                                   ",201705,161,7633.56
"DENTRIFICOS Y ENJUAGUES BUCALES                   ",201705,21,1762.61
"YOGURT                                            ",201705,354,6168.9052
"MERMELADAS                                        ",201705,500,17983.2
"CONDIMENTOS Y VINAGRES                            ",201705,13,1665.21
"ARROZ EMBOLSADO                                   ",201705,1,43.32
